Year,SSP3-7.0 CO2 (ppm),SSP3-7.0 CH4 (ppb)
2015,399.9484252929688,1841.932739257812
2016,403.1169738769531,1851.594116210938
2017,405.8129577636719,1874.509399414062
2018,408.8319702148438,1889.791259765625
2019,411.9459533691406,1905.450927734375
2020,415.1549682617188,1921.441040039062
2021,418.4609680175781,1937.741088867188
2022,421.8429565429688,1954.37109375
2023,425.282958984375,1971.401123046875
2024,428.7839660644531,1988.791137695312
2025,432.3469543457031,2006.511108398438
2026,435.9749450683594,2024.531127929688
2027,439.6699523925781,2042.821166992188
2028,443.4319458007812,2061.37109375
2029,447.262939453125,2080.151123046875
2030,451.1639404296875,2099.14111328125
2031,455.1359558105469,2118.3212890625
2032,459.1659545898438,2137.55126953125
2033,463.241943359375,2156.701171875
2034,467.3649597167969,2175.76123046875
2035,471.5389404296875,2194.751220703125
2036,475.7649536132812,2213.6611328125
2037,480.0449523925781,2232.501220703125
2038,484.3799438476562,2251.271240234375
2039,488.7719421386719,2269.97119140625
2040,493.220947265625,2288.591064453125
2041,497.73095703125,2307.151123046875
2042,502.2919311523438,2325.651123046875
2043,506.9009399414062,2344.10107421875
2044,511.5569458007812,2362.51123046875
2045,516.263916015625,2380.87109375
2046,521.0209350585938,2399.191162109375
2047,525.8299560546875,2417.461181640625
2048,530.6919555664062,2435.691162109375
2049,535.6089477539062,2453.87109375
2050,540.5809326171875,2472.001220703125
2051,545.6099243164062,2490.0810546875
2052,550.69091796875,2508.18115234375
2053,555.8219604492188,2526.341064453125
2054,561.0039672851562,2544.55126953125
2055,566.2389526367188,2562.8212890625
2056,571.5259399414062,2581.131103515625
2057,576.867919921875,2599.481201171875
2058,582.2659301757812,2617.861083984375
2059,587.7189331054688,2636.26123046875
2060,593.2299194335938,2654.691162109375
2061,598.7979125976562,2673.131103515625
2062,604.4239501953125,2691.611328125
2063,610.10693359375,2710.121337890625
2064,615.846923828125,2728.68115234375
2065,621.6469116210938,2747.26123046875
2066,627.5049438476562,2765.871337890625
2067,633.4229125976562,2784.501220703125
2068,639.4019165039062,2803.141357421875
2069,645.4419555664062,2821.80126953125
2070,651.5439453125,2840.451171875
2071,657.7079467773438,2859.111328125
2072,663.9339599609375,2877.791259765625
2073,670.221923828125,2896.521240234375
2074,676.5718994140625,2915.291259765625
2075,682.9849243164062,2934.081298828125
2076,689.4609375,2952.911376953125
2077,696.001953125,2971.751220703125
2078,702.60595703125,2990.611328125
2079,709.27490234375,3009.481201171875
2080,716.0079345703125,3028.351318359375
2081,722.8079223632812,3047.22119140625
2082,729.678955078125,3065.961181640625
2083,736.62890625,3084.461181640625
2084,743.6569213867188,3102.731201171875
2085,750.763916015625,3120.78125
2086,757.950927734375,3138.62109375
2087,765.2159423828125,3156.251220703125
2088,772.5609130859375,3173.701171875
2089,779.9839477539062,3190.97119140625
2090,787.4879150390625,3208.0712890625
2091,795.0699462890625,3225.01123046875
2092,802.7359008789062,3241.80126953125
2093,810.4888916015625,3258.481201171875
2094,818.3279418945312,3275.041259765625
2095,826.25390625,3291.481201171875
2096,834.2669067382812,3307.8310546875
2097,842.366943359375,3324.06103515625
2098,850.5538940429688,3340.201171875
2099,858.8289184570312,3356.2412109375
2100,867.19091796875,3372.18115234375
2101,875.639892578125,3388.031005859375
2102,884.1099243164062,3402.6806640625
2103,892.5328979492188,3415.090576171875
2104,900.9109497070312,3425.45068359375
2105,909.2469482421875,3433.890380859375
2106,917.5408935546875,3440.580322265625
2107,925.7929077148438,3445.650390625
2108,934.0049438476562,3449.22021484375
2109,942.1769409179688,3451.41015625
2110,950.3079223632812,3452.340087890625
2111,958.3969116210938,3452.10009765625
2112,966.4449462890625,3450.7900390625
2113,974.451904296875,3448.5
2114,982.4159545898438,3445.31982421875
2115,990.3369140625,3441.2998046875
2116,998.2139282226562,3436.52978515625
2117,1006.049926757812,3431.079833984375
2118,1013.839904785156,3424.98974609375
2119,1021.579956054688,3418.329833984375
2120,1029.269897460938,3411.1396484375
2121,1036.919921875,3403.479736328125
2122,1044.519897460938,3395.3896484375
2123,1052.079956054688,3386.899658203125
2124,1059.579956054688,3378.0595703125
2125,1067.029907226562,3368.90966796875
2126,1074.43994140625,3359.459716796875
2127,1081.789916992188,3349.74951171875
2128,1089.089965820312,3339.8095703125
2129,1096.329956054688,3329.669677734375
2130,1103.529907226562,3319.32958984375
2131,1110.669921875,3308.839599609375
2132,1117.749877929688,3298.199462890625
2133,1124.779907226562,3287.4296875
2134,1131.759887695312,3276.549560546875
2135,1138.669921875,3265.569580078125
2136,1145.529907226562,3254.509521484375
2137,1152.339965820312,3243.379638671875
2138,1159.079956054688,3232.179443359375
2139,1165.769897460938,3220.939453125
2140,1172.39990234375,3209.659423828125
2141,1178.9599609375,3198.349609375
2142,1185.469970703125,3187.009521484375
2143,1191.919921875,3175.659423828125
2144,1198.309936523438,3164.28955078125
2145,1204.6298828125,3152.91943359375
2146,1210.889892578125,3141.549560546875
2147,1217.089965820312,3130.189453125
2148,1223.22998046875,3118.839599609375
2149,1229.299926757812,3107.49951171875
2150,1235.319946289062,3096.16943359375
2151,1241.259887695312,3084.86962890625
2152,1247.14990234375,3073.589599609375
2153,1252.969970703125,3062.32958984375
2154,1258.739990234375,3051.099609375
2155,1264.449951171875,3039.899658203125
2156,1270.099975585938,3028.7294921875
2157,1275.699951171875,3017.589599609375
2158,1281.22998046875,3006.4794921875
2159,1286.699951171875,2995.409423828125
2160,1292.109985351562,2984.36962890625
2161,1297.469970703125,2973.36962890625
2162,1302.760009765625,2962.409423828125
2163,1307.989990234375,2951.4794921875
2164,1313.159912109375,2940.589599609375
2165,1318.260009765625,2929.7294921875
2166,1323.309936523438,2918.91943359375
2167,1328.289916992188,2908.1396484375
2168,1333.2099609375,2897.399658203125
2169,1338.069946289062,2886.699462890625
2170,1342.869995117188,2876.029541015625
2171,1347.599975585938,2865.399658203125
2172,1352.269897460938,2854.8095703125
2173,1356.880004882812,2844.24951171875
2174,1361.419921875,2833.7294921875
2175,1365.89990234375,2823.24951171875
2176,1370.319946289062,2812.799560546875
2177,1374.669921875,2802.3896484375
2178,1378.9599609375,2792.009521484375
2179,1383.179931640625,2781.669677734375
2180,1387.339965820312,2771.359619140625
2181,1391.43994140625,2761.089599609375
2182,1395.469970703125,2750.839599609375
2183,1399.429931640625,2740.629638671875
2184,1403.329956054688,2730.449462890625
2185,1407.159912109375,2720.3095703125
2186,1410.929931640625,2710.189453125
2187,1414.640014648438,2700.109619140625
2188,1418.27001953125,2690.049560546875
2189,1421.849975585938,2680.029541015625
2190,1425.349975585938,2670.029541015625
2191,1428.799926757812,2660.069580078125
2192,1432.169921875,2650.129638671875
2193,1435.47998046875,2640.219482421875
2194,1438.719970703125,2630.32958984375
2195,1441.900024414062,2620.4794921875
2196,1445.010009765625,2610.6396484375
2197,1448.049926757812,2600.839599609375
2198,1451.030029296875,2591.0595703125
2199,1453.93994140625,2581.299560546875
2200,1456.789916992188,2571.569580078125
2201,1459.569946289062,2561.859619140625
2202,1462.280029296875,2552.169677734375
2203,1464.919921875,2542.509521484375
2204,1467.5,2532.86962890625
2205,1470.010009765625,2523.24951171875
2206,1472.4599609375,2513.649658203125
2207,1474.829956054688,2504.07958984375
2208,1477.140014648438,2494.51953125
2209,1479.390014648438,2484.989501953125
2210,1481.559936523438,2475.469482421875
2211,1483.669921875,2465.9794921875
2212,1485.719970703125,2456.49951171875
2213,1487.68994140625,2447.03955078125
2214,1489.599975585938,2437.599609375
2215,1491.43994140625,2428.1796875
2216,1493.219970703125,2418.779541015625
2217,1494.919921875,2409.3896484375
2218,1496.559936523438,2400.01953125
2219,1498.140014648438,2390.65966796875
2220,1499.640014648438,2381.319580078125
2221,1501.079956054688,2371.99951171875
2222,1502.449951171875,2362.689453125
2223,1503.760009765625,2353.3896484375
2224,1504.989990234375,2344.109619140625
2225,1506.160034179688,2334.849609375
2226,1507.260009765625,2325.589599609375
2227,1508.299926757812,2316.359619140625
2228,1509.27001953125,2307.129638671875
2229,1510.170043945312,2297.919677734375
2230,1511.0,2288.719482421875
2231,1511.77001953125,2279.53955078125
2232,1512.469970703125,2270.359619140625
2233,1513.099975585938,2261.199462890625
2234,1513.670043945312,2252.049560546875
2235,1514.170043945312,2242.90966796875
2236,1514.599975585938,2233.78955078125
2237,1514.969970703125,2224.669677734375
2238,1515.27001953125,2215.569580078125
2239,1515.5,2206.469482421875
2240,1515.660034179688,2197.3896484375
2241,1515.760009765625,2188.319580078125
2242,1515.7900390625,2179.24951171875
2243,1515.760009765625,2170.199462890625
2244,1515.660034179688,2161.15966796875
2245,1515.489990234375,2152.11962890625
2246,1515.25,2143.089599609375
2247,1514.949951171875,2134.07958984375
2248,1514.579956054688,2125.069580078125
2249,1514.150024414062,2116.069580078125
2250,1513.650024414062,2107.069580078125
2251,1513.079956054688,2098.089599609375
2252,1512.47998046875,2089.479736328125
2253,1511.890014648438,2081.589599609375
2254,1511.2900390625,2074.33984375
2255,1510.68994140625,2067.69970703125
2256,1510.099975585938,2061.599853515625
2257,1509.5,2055.98974609375
2258,1508.890014648438,2050.849853515625
2259,1508.2900390625,2046.119873046875
2260,1507.680053710938,2041.779907226562
2261,1507.079956054688,2037.779907226562
2262,1506.469970703125,2034.10986328125
2263,1505.859985351562,2030.719848632812
2264,1505.239990234375,2027.60986328125
2265,1504.630004882812,2024.72998046875
2266,1504.010009765625,2022.079956054688
2267,1503.390014648438,2019.630004882812
2268,1502.77001953125,2017.369995117188
2269,1502.150024414062,2015.279907226562
2270,1501.530029296875,2013.339965820312
2271,1500.900024414062,2011.539916992188
2272,1500.280029296875,2009.880004882812
2273,1499.660034179688,2008.329956054688
2274,1499.030029296875,2006.880004882812
2275,1498.400024414062,2005.5400390625
2276,1497.780029296875,2004.2900390625
2277,1497.150024414062,2003.119995117188
2278,1496.52001953125,2002.02001953125
2279,1495.890014648438,2000.989990234375
2280,1495.27001953125,2000.030029296875
2281,1494.640014648438,1999.119995117188
2282,1494.010009765625,1998.260009765625
2283,1493.380004882812,1997.450073242188
2284,1492.75,1996.690063476562
2285,1492.119995117188,1995.960083007812
2286,1491.5,1995.27001953125
2287,1490.869995117188,1994.619995117188
2288,1490.239990234375,1993.989990234375
2289,1489.619995117188,1993.390014648438
2290,1488.989990234375,1992.820068359375
2291,1488.359985351562,1992.27001953125
2292,1487.739990234375,1991.739990234375
2293,1487.109985351562,1991.22998046875
2294,1486.489990234375,1990.739990234375
2295,1485.859985351562,1990.260009765625
2296,1485.239990234375,1989.800048828125
2297,1484.609985351562,1989.35009765625
2298,1483.989990234375,1988.920043945312
2299,1483.369995117188,1988.489990234375
2300,1482.75,1988.080078125
2301,1482.119995117188,1987.670043945312
2302,1481.5,1987.280029296875
2303,1480.880004882812,1986.890014648438
2304,1480.260009765625,1986.510009765625
2305,1479.640014648438,1986.140014648438
2306,1479.02001953125,1985.77001953125
2307,1478.400024414062,1985.410034179688
2308,1477.7900390625,1985.050048828125
2309,1477.170043945312,1984.700073242188
2310,1476.550048828125,1984.35009765625
2311,1475.93994140625,1984.010009765625
2312,1475.319946289062,1983.670043945312
2313,1474.7099609375,1983.330078125
2314,1474.089965820312,1983.0
2315,1473.47998046875,1982.670043945312
2316,1472.869995117188,1982.340087890625
2317,1472.25,1982.02001953125
2318,1471.640014648438,1981.700073242188
2319,1471.030029296875,1981.380004882812
2320,1470.420043945312,1981.06005859375
2321,1469.81005859375,1980.75
2322,1469.199951171875,1980.430053710938
2323,1468.589965820312,1980.119995117188
2324,1467.97998046875,1979.81005859375
2325,1467.380004882812,1979.5
2326,1466.77001953125,1979.200073242188
2327,1466.160034179688,1978.890014648438
2328,1465.56005859375,1978.590087890625
2329,1464.949951171875,1978.2900390625
2330,1464.349975585938,1977.989990234375
2331,1463.739990234375,1977.690063476562
2332,1463.140014648438,1977.390014648438
2333,1462.5400390625,1977.090087890625
2334,1461.930053710938,1976.7900390625
2335,1461.329956054688,1976.5
2336,1460.72998046875,1976.200073242188
2337,1460.130004882812,1975.910034179688
2338,1459.530029296875,1975.619995117188
2339,1458.930053710938,1975.330078125
2340,1458.339965820312,1975.0400390625
2341,1457.739990234375,1974.75
2342,1457.140014648438,1974.460083007812
2343,1456.5400390625,1974.170043945312
2344,1455.949951171875,1973.890014648438
2345,1455.349975585938,1973.60009765625
2346,1454.760009765625,1973.320068359375
2347,1454.160034179688,1973.030029296875
2348,1453.569946289062,1972.75
2349,1452.97998046875,1972.470092773438
2350,1452.390014648438,1972.180053710938
2351,1451.7900390625,1971.900024414062
2352,1451.199951171875,1971.619995117188
2353,1450.609985351562,1971.35009765625
2354,1450.02001953125,1971.070068359375
2355,1449.430053710938,1970.7900390625
2356,1448.849975585938,1970.510009765625
2357,1448.260009765625,1970.239990234375
2358,1447.670043945312,1969.960083007812
2359,1447.089965820312,1969.690063476562
2360,1446.5,1969.420043945312
2361,1445.910034179688,1969.140014648438
2362,1445.329956054688,1968.869995117188
2363,1444.75,1968.60009765625
2364,1444.160034179688,1968.330078125
2365,1443.579956054688,1968.06005859375
2366,1443.0,1967.7900390625
2367,1442.420043945312,1967.52001953125
2368,1441.839965820312,1967.260009765625
2369,1441.260009765625,1966.989990234375
2370,1440.680053710938,1966.730102539062
2371,1440.099975585938,1966.460083007812
2372,1439.52001953125,1966.200073242188
2373,1438.93994140625,1965.930053710938
2374,1438.369995117188,1965.670043945312
2375,1437.7900390625,1965.410034179688
2376,1437.2099609375,1965.150024414062
2377,1436.640014648438,1964.890014648438
2378,1436.06005859375,1964.630004882812
2379,1435.489990234375,1964.369995117188
2380,1434.920043945312,1964.110107421875
2381,1434.349975585938,1963.859985351562
2382,1433.77001953125,1963.60009765625
2383,1433.199951171875,1963.35009765625
2384,1432.630004882812,1963.090087890625
2385,1432.06005859375,1962.840087890625
2386,1431.489990234375,1962.580078125
2387,1430.920043945312,1962.330078125
2388,1430.359985351562,1962.080078125
2389,1429.7900390625,1961.830078125
2390,1429.219970703125,1961.580078125
2391,1428.660034179688,1961.330078125
2392,1428.089965820312,1961.080078125
2393,1427.530029296875,1960.830078125
2394,1426.9599609375,1960.590087890625
2395,1426.400024414062,1960.340087890625
2396,1425.839965820312,1960.090087890625
2397,1425.280029296875,1959.85009765625
2398,1424.7099609375,1959.609985351562
2399,1424.150024414062,1959.360107421875
2400,1423.589965820312,1959.119995117188
2401,1423.030029296875,1958.880004882812
2402,1422.47998046875,1958.640014648438
2403,1421.920043945312,1958.400024414062
2404,1421.359985351562,1958.160034179688
2405,1420.800048828125,1957.920043945312
2406,1420.25,1957.680053710938
2407,1419.68994140625,1957.440063476562
2408,1419.140014648438,1957.210083007812
2409,1418.579956054688,1956.970092773438
2410,1418.030029296875,1956.739990234375
2411,1417.47998046875,1956.5
2412,1416.920043945312,1956.27001953125
2413,1416.369995117188,1956.030029296875
2414,1415.819946289062,1955.800048828125
2415,1415.27001953125,1955.570068359375
2416,1414.719970703125,1955.340087890625
2417,1414.170043945312,1955.110107421875
2418,1413.630004882812,1954.880004882812
2419,1413.079956054688,1954.650024414062
2420,1412.530029296875,1954.420043945312
2421,1411.97998046875,1954.200073242188
2422,1411.43994140625,1953.970092773438
2423,1410.890014648438,1953.739990234375
2424,1410.349975585938,1953.52001953125
2425,1409.81005859375,1953.2900390625
2426,1409.260009765625,1953.070068359375
2427,1408.719970703125,1952.85009765625
2428,1408.180053710938,1952.630004882812
2429,1407.640014648438,1952.400024414062
2430,1407.099975585938,1952.180053710938
2431,1406.56005859375,1951.960083007812
2432,1406.02001953125,1951.739990234375
2433,1405.47998046875,1951.52001953125
2434,1404.93994140625,1951.31005859375
2435,1404.410034179688,1951.090087890625
2436,1403.869995117188,1950.869995117188
2437,1403.329956054688,1950.660034179688
2438,1402.800048828125,1950.440063476562
2439,1402.260009765625,1950.230102539062
2440,1401.72998046875,1950.010009765625
2441,1401.199951171875,1949.800048828125
2442,1400.660034179688,1949.590087890625
2443,1400.130004882812,1949.369995117188
2444,1399.599975585938,1949.160034179688
2445,1399.069946289062,1948.950073242188
2446,1398.5400390625,1948.739990234375
2447,1398.010009765625,1948.530029296875
2448,1397.47998046875,1948.320068359375
2449,1396.949951171875,1948.110107421875
2450,1396.430053710938,1947.910034179688
2451,1395.900024414062,1947.700073242188
2452,1395.369995117188,1947.489990234375
2453,1394.849975585938,1947.2900390625
2454,1394.319946289062,1947.080078125
2455,1393.800048828125,1946.880004882812
2456,1393.280029296875,1946.680053710938
2457,1392.75,1946.470092773438
2458,1392.22998046875,1946.27001953125
2459,1391.7099609375,1946.070068359375
2460,1391.18994140625,1945.869995117188
2461,1390.670043945312,1945.670043945312
2462,1390.150024414062,1945.470092773438
2463,1389.630004882812,1945.27001953125
2464,1389.109985351562,1945.070068359375
2465,1388.599975585938,1944.869995117188
2466,1388.079956054688,1944.670043945312
2467,1387.56005859375,1944.480102539062
2468,1387.050048828125,1944.280029296875
2469,1386.530029296875,1944.090087890625
2470,1386.02001953125,1943.890014648438
2471,1385.5,1943.700073242188
