Year,SSP3-7.0 Total (W/m²),SSP3-7.0 CO2 (W/m²),SSP3-7.0 CH4 (W/m²),SSP3-7.0 N2O (W/m²),SSP3-7.0 Minor GHG (W/m²),SSP3-7.0 O3 (W/m²),SSP3-7.0 Stratospheric H2O (W/m²),SSP3-7.0 Contrails (W/m²),SSP3-7.0 Aerosol Radiation (W/m²),SSP3-7.0 Aerosol Cloud (W/m²),SSP3-7.0 Snow (W/m²),SSP3-7.0 Land Use (W/m²),SSP3-7.0 Volcanic (W/m²),SSP3-7.0 Solar (W/m²),SSP3-7.0 Total Antropgenic (W/m²),SSP3-7.0 Total Natural (W/m²)
1920,0.4298741572242804,0.499553732567473,0.1732441865289999,0.0519541580745324,0.0002336122782936,0.1011316666666666,0.0159236768644385,0.0,-0.09964358514074,-0.4272121331624467,0.0285680989340095,-0.1126003732024194,0.1926906936897708,0.0060304231257021,0.2311530404088075,0.1987211168154729
1921,0.4938954512360125,0.5057914098255044,0.1770467054384099,0.0523572277797201,0.0002498171800659,0.1026961666666666,0.0162731840173047,0.0,-0.0807062583428277,-0.3712988994846273,0.0260955431288878,-0.1138673533605713,0.1924006053789647,-0.0131426969914853,0.314637542848533,0.1792579083874794
1922,0.3408173830865487,0.5118604864136923,0.1807117925982609,0.0528351400997022,0.0002772617774327,0.1042606666666666,0.0166100591805223,0.0,-0.0839673967673635,-0.3755092409869157,0.0260969264077475,-0.1151343335187232,0.0534225756288867,-0.0306465544133603,0.3180413618710223,0.0227760212155264
1923,0.3595567862285726,0.517579940376098,0.1839004914818465,0.0539051549612724,0.0003211165253338,0.1058251666666666,0.0169031472873011,0.0,-0.0899863644707147,-0.4265001243354957,0.0309240042971738,-0.1164013136768751,0.1177102709433885,-0.0346247038274228,0.2764712191126069,0.0830855671159657
1924,0.4653897243841065,0.5238890654994214,0.1861803063918819,0.0544117403114446,0.000365818467589,0.1073896666666666,0.0171126956517541,0.0,-0.0892114633951636,-0.4110965076315915,0.0294134688511581,-0.117668293835027,0.1915056411943332,-0.0269024137883603,0.3007864969781337,0.1646032274059728
1925,0.4893503556822753,0.5270230161965053,0.1876092709433576,0.0545982607683495,0.0004197914149568,0.1089541666666666,0.0172440384126532,5.6011696508373454e-05,-0.0893127151365599,-0.4136626438566197,0.0299209872167223,-0.1189352739931789,0.1911990651959619,-0.0057636198430478,0.3039149103293612,0.1854354453529141
1926,0.5064674550567605,0.5293986915650704,0.188368629176471,0.0547624108039771,0.000486483834706,0.1105186666666666,0.0173138345505249,0.000114298409434,-0.0964307338061395,-0.4206718276456502,0.0293693904901098,-0.1202022541513309,0.1908884215294064,0.0225514436335146,0.2930275898938393,0.213439865162921
1927,0.5068753663089735,0.533249292373482,0.1895109487906147,0.0549532198123626,0.0005353290149252,0.1120831666666666,0.0174188304454866,0.0001972413067119,-0.10389630596732,-0.4430793691646885,0.0305498918945314,-0.1214692343094828,0.1905736217731063,0.0462487336725771,0.27005301086329,0.2368223554456834
1928,0.4526967466003769,0.5358203634622676,0.1920663415076548,0.0552992113576008,0.0006017499105701,0.1136476666666666,0.0176537084445881,0.0002775290277036,-0.1080584346292821,-0.444222468052987,0.0297761418517251,-0.1227362144676347,0.1518606014426766,0.0307105500788271,0.2701255950788732,0.1825711515215038
1929,0.2247666806444753,0.538642436225954,0.1952163414956849,0.0555186050852137,0.0006959292686739,0.1152121666666666,0.017943239556352,0.0003852399561876,-0.119633297718433,-0.471812855387731,0.030656955682592,-0.1240031946257866,-0.0368091368116012,0.0227542512507021,0.2388215662053744,-0.014054885560899
