,HadCRUT,NOAA,Berkeley,Kadow,,HadCRUT confidence limit lower,HadCRUT confidence limit upper
1913,-0.113333333,-0.149803922,-0.089215686,-0.102352941,,-0.232873329,0.011572591
1914,0.096666667,0.030196078,0.090784314,0.097647059,,-0.026261279,0.214080771
1915,0.166666667,0.070196078,0.150784314,0.157647059,,0.034540231,0.294776281
1916,-0.063333333,-0.139803922,-0.079215686,-0.062352941,,-0.202391929,0.074976291
1917,-0.183333333,-0.259803922,-0.229215686,-0.182352941,,-0.335617029,-0.037417729
1918,-0.063333333,-0.109803922,-0.049215686,-0.022352941,,-0.225479669,0.089315351
1919,0.026666667,-0.069803922,-0.009215686,0.027647059,,-0.124955959,0.186923871
1920,0.056666667,-0.079803922,0.050784314,0.107647059,,-0.092098179,0.207940961
1921,0.116666667,0.000196078,0.100784314,0.077647059,,-0.025251219,0.256901501
1922,0.016666667,-0.069803922,0.010784314,0.007647059,,-0.109601059,0.144149151
1923,0.036666667,-0.069803922,0.050784314,0.047647059,,-0.087670829,0.164814071
1924,0.046666667,-0.049803922,0.030784314,0.047647059,,-0.082329529,0.171209421
1925,0.076666667,-0.029803922,0.080784314,0.097647059,,-0.058273329,0.206427141
1926,0.236666667,0.090196078,0.210784314,0.207647059,,0.103854501,0.36347891
1927,0.126666667,-0.009803922,0.100784314,0.107647059,,0.005145221,0.249048981
1928,0.146666667,0.000196078,0.110784314,0.107647059,,0.017684131,0.281797107
1929,-0.033333333,-0.129803922,-0.069215686,-0.052352941,,-0.170065289,0.097556351
1930,0.176666667,0.060196078,0.150784314,0.157647059,,0.066090731,0.293302811
1931,0.256666667,0.110196078,0.210784314,0.217647059,,0.143810571,0.362398418
1932,0.206666667,0.050196078,0.170784314,0.187647059,,0.104547021,0.317533971
1933,0.036666667,-0.079803922,-0.009215686,0.007647059,,-0.070598229,0.138913751
1934,0.186666667,0.060196078,0.130784314,0.167647059,,0.082498221,0.281832431
1935,0.146666667,0.020196078,0.070784314,0.117647059,,0.053004831,0.247881061
1936,0.186666667,0.050196078,0.140784314,0.167647059,,0.092982911,0.280979561
1937,0.336666667,0.180196078,0.290784314,0.327647059,,0.236743421,0.437863061
1938,0.346666667,0.180196078,0.300784314,0.317647059,,0.246198431,0.442404441
1939,0.316666667,0.180196078,0.280784314,0.307647059,,0.209797511,0.421612497
1940,0.436666667,0.320196078,0.370784314,0.357647059,,0.314552511,0.550323511
1941,0.396666667,0.390196078,0.320784314,0.317647059,,0.194248301,0.595014721
1942,0.356666667,0.260196078,0.330784314,0.337647059,,0.161289771,0.554526741
1943,0.366666667,0.270196078,0.380784314,0.377647059,,0.156911201,0.568921281
1944,0.496666667,0.400196078,0.500784314,0.487647059,,0.302007343,0.699207271
1945,0.396666667,0.310196078,0.370784314,0.317647059,,0.199219281,0.599961781
1946,0.236666667,0.130196078,0.200784314,0.217647059,,0.090544771,0.384833963
1947,0.266666667,0.160196078,0.270784314,0.267647059,,0.124711761,0.405881481
1948,0.236666667,0.100196078,0.170784314,0.217647059,,0.097368801,0.366313015
1949,0.216666667,0.110196078,0.170784314,0.197647059,,0.102424671,0.322975184
1950,0.126666667,0.040196078,0.100784314,0.117647059,,0.023845191,0.235915551
1951,0.296666667,0.160196078,0.270784314,0.277647059,,0.206151931,0.384544469
1952,0.376666667,0.220196078,0.350784314,0.347647059,,0.273566201,0.470147261
1953,0.436666667,0.300196078,0.420784314,0.397647059,,0.335972553,0.532293271
1954,0.236666667,0.100196078,0.230784314,0.217647059,,0.147999461,0.331504458
1955,0.156666667,0.040196078,0.170784314,0.187647059,,0.072072201,0.246312271
1956,0.096666667,0.000196078,0.080784314,0.127647059,,0.017376541,0.169296601
1957,0.316666667,0.230196078,0.310784314,0.327647059,,0.255933551,0.386400939
1958,0.336666667,0.250196078,0.320784314,0.317647059,,0.273427616,0.404311621
1959,0.306666667,0.240196078,0.300784314,0.297647059,,0.246138421,0.37085627
1960,0.236666667,0.190196078,0.240784314,0.257647059,,0.182336301,0.299693994
1961,0.336666667,0.230196078,0.320784314,0.347647059,,0.285721651,0.387287918
1962,0.296666667,0.220196078,0.260784314,0.267647059,,0.239187741,0.345707718
1963,0.316666667,0.250196078,0.300784314,0.317647059,,0.265932091,0.373460465
1964,0.046666667,0.020196078,0.040784314,0.077647059,,0.007010041,0.094260811
1965,0.156666667,0.110196078,0.160784314,0.187647059,,0.102928601,0.201299951
1966,0.206666667,0.150196078,0.220784314,0.247647059,,0.158109961,0.257125211
1967,0.236666667,0.190196078,0.250784314,0.277647059,,0.195877381,0.282094341
1968,0.186666667,0.110196078,0.180784314,0.207647059,,0.143249041,0.232490707
1969,0.326666667,0.260196078,0.330784314,0.337647059,,0.284636731,0.365634184
1970,0.266666667,0.230196078,0.270784314,0.327647059,,0.230421211,0.312370001
1971,0.146666667,0.120196078,0.160784314,0.187647059,,0.111995111,0.189143741
1972,0.266666667,0.200196078,0.270784314,0.307647059,,0.224785231,0.300564911
1973,0.406666667,0.370196078,0.400784314,0.437647059,,0.369970699,0.442900355
1974,0.186666667,0.120196078,0.200784314,0.227647059,,0.146278411,0.221651271
1975,0.246666667,0.180196078,0.270784314,0.267647059,,0.205197051,0.286298821
1976,0.136666667,0.140196078,0.170784314,0.147647059,,0.100618391,0.180662631
1977,0.456666667,0.380196078,0.500784314,0.477647059,,0.416558876,0.502622511
1978,0.366666667,0.280196078,0.370784314,0.377647059,,0.321925304,0.401590581
1979,0.446666667,0.390196078,0.450784314,0.457647059,,0.418860789,0.475859817
1980,0.556666667,0.460196078,0.580784314,0.567647059,,0.519306171,0.585842311
1981,0.606666667,0.520196078,0.620784314,0.597647059,,0.575893431,0.637134991
1982,0.386666667,0.360196078,0.410784314,0.427647059,,0.351397506,0.430133491
1983,0.576666667,0.520196078,0.590784314,0.597647059,,0.544576191,0.616105371
1984,0.406666667,0.370196078,0.420784314,0.437647059,,0.368062907,0.440950861
1985,0.406666667,0.340196078,0.420784314,0.437647059,,0.372165642,0.440298261
1986,0.456666667,0.380196078,0.470784314,0.457647059,,0.420910171,0.483468121
1987,0.596666667,0.510196078,0.610784314,0.597647059,,0.568687691,0.630369451
1988,0.636666667,0.590196078,0.650784314,0.657647059,,0.603537471,0.673770331
1989,0.536666667,0.480196078,0.540784314,0.537647059,,0.501000551,0.570504321
1990,0.716666667,0.620196078,0.730784314,0.727647059,,0.681054441,0.753074851
1991,0.696666667,0.590196078,0.710784314,0.707647059,,0.660538341,0.730259071
1992,0.476666667,0.400196078,0.510784314,0.507647059,,0.447384231,0.515413701
