Year,SSP1-1.9 CO2 (ppm),SSP1-1.9 CH4 (ppb)
2015,399.9491271972656,1841.955932617188
2016,403.1169738769531,1851.593994140625
2017,405.7509765625,1872.668823242188
2018,408.5869750976562,1882.6005859375
2019,411.4049682617188,1889.650024414062
2020,414.2139587402344,1894.030029296875
2021,417.0139770507812,1895.909790039062
2022,419.698974609375,1895.029541015625
2023,422.1699523925781,1891.159423828125
2024,424.4429626464844,1884.499267578125
2025,426.5249633789062,1875.249145507812
2026,428.4259643554688,1863.5791015625
2027,430.1509704589844,1849.658935546875
2028,431.7059631347656,1833.648803710938
2029,433.0959777832031,1815.6787109375
2030,434.323974609375,1795.878662109375
2031,435.3939819335938,1774.388671875
2032,436.3369750976562,1752.358764648438
2033,437.1789855957031,1730.868774414062
2034,437.9169921875,1709.87890625
2035,438.552978515625,1689.37890625
2036,439.083984375,1669.31884765625
2037,439.5130004882812,1649.678955078125
2038,439.8369750976562,1630.428955078125
2039,440.0589904785156,1611.538940429688
2040,440.1789855957031,1592.988891601562
2041,440.1969909667969,1574.7490234375
2042,440.1389770507812,1556.899047851562
2043,440.0269775390625,1539.489013671875
2044,439.8599853515625,1522.4990234375
2045,439.6349792480469,1505.909057617188
2046,439.3519897460938,1489.679077148438
2047,439.010986328125,1473.7890625
2048,438.6109924316406,1458.209106445312
2049,438.1510009765625,1442.939086914062
2050,437.6319885253906,1427.929077148438
2051,437.0539855957031,1413.189208984375
2052,436.4459838867188,1398.899169921875
2053,435.8359985351562,1385.25927734375
2054,435.2200012207031,1372.229248046875
2055,434.5969848632812,1359.769287109375
2056,433.9639892578125,1347.829345703125
2057,433.3209838867188,1336.37939453125
2058,432.6650085449219,1325.389404296875
2059,431.9970092773438,1314.8193359375
2060,431.3139953613281,1304.639404296875
2061,430.6170043945312,1294.829467773438
2062,429.9079895019531,1285.369506835938
2063,429.1900024414062,1276.2294921875
2064,428.4630126953125,1267.389526367188
2065,427.7260131835938,1258.839477539062
2066,426.97900390625,1250.549560546875
2067,426.2210083007812,1242.49951171875
2068,425.4519958496094,1234.679565429688
2069,424.6700134277344,1227.069580078125
2070,423.8770141601562,1219.659545898438
2071,423.0710144042969,1212.429565429688
2072,422.2539978027344,1205.319580078125
2073,421.4250183105469,1198.259521484375
2074,420.5840148925781,1191.259521484375
2075,419.7310180664062,1184.299560546875
2076,418.8670043945312,1177.399536132812
2077,417.9909973144531,1170.529541015625
2078,417.1019897460938,1163.709594726562
2079,416.2019958496094,1156.919555664062
2080,415.2879943847656,1150.169555664062
2081,414.3619995117188,1143.449584960938
2082,413.4210205078125,1136.819580078125
2083,412.4609985351562,1130.3095703125
2084,411.4840087890625,1123.929565429688
2085,410.4900207519531,1117.659545898438
2086,409.4770202636719,1111.499633789062
2087,408.447998046875,1105.439575195312
2088,407.4010009765625,1099.469604492188
2089,406.3359985351562,1093.57958984375
2090,405.2550048828125,1087.779663085938
2091,404.1570129394531,1082.049560546875
2092,403.041015625,1076.419677734375
2093,401.9080200195312,1070.90966796875
2094,400.7579956054688,1065.529663085938
2095,399.5910034179688,1060.259643554688
2096,398.4070129394531,1055.089599609375
2097,397.2060241699219,1050.079711914062
2098,395.989013671875,1045.309692382812
2099,394.7560119628906,1040.73974609375
2100,393.5060119628906,1036.369750976562
2101,392.2409973144531,1032.15966796875
2102,390.9830017089844,1028.2197265625
2103,389.7550048828125,1024.619750976562
2104,388.552001953125,1021.329772949219
2105,387.3730163574219,1018.319763183594
2106,386.2160034179688,1015.559814453125
2107,385.0800170898438,1013.019775390625
2108,383.9640197753906,1010.689819335938
2109,382.8670043945312,1008.539794921875
2110,381.7880249023438,1006.5498046875
2111,380.7250061035156,1004.719848632812
2112,379.6790161132812,1003.009826660156
2113,378.6480102539062,1001.419860839844
2114,377.6330261230469,999.9378662109375
2115,376.6310119628906,998.5478515625
2116,375.6440124511719,997.2418823242188
2117,374.6690063476562,996.0098876953125
2118,373.7080078125,994.8438720703125
2119,372.7590026855469,993.7378540039062
2120,371.822021484375,992.6848754882812
2121,370.8970031738281,991.6778564453125
2122,369.9830017089844,990.7118530273438
2123,369.0800170898438,989.7838745117188
2124,368.1880187988281,988.8888549804688
2125,367.3059997558594,988.0218505859375
2126,366.4349975585938,987.1808471679688
2127,365.572998046875,986.3618774414062
2128,364.7210083007812,985.5628662109375
2129,363.8789978027344,984.7818603515625
2130,363.0450134277344,984.015869140625
2131,362.2210083007812,983.2628784179688
2132,361.406005859375,982.5208740234375
2133,360.5989990234375,981.7888793945312
2134,359.801025390625,981.0658569335938
2135,359.010009765625,980.349853515625
2136,358.2279968261719,979.639892578125
2137,357.4540100097656,978.9338989257812
2138,356.68701171875,978.23291015625
2139,355.9280090332031,977.5348510742188
2140,355.177001953125,976.8388671875
2141,354.4330139160156,976.1438598632812
2142,353.7100219726562,975.4508666992188
2143,353.02001953125,974.7568969726562
2144,352.3630065917969,974.0628662109375
2145,351.7350158691406,973.3668823242188
2146,351.1360168457031,972.6679077148438
2147,350.5639953613281,971.9649047851562
2148,350.0190124511719,971.2578735351562
2149,349.5,970.5458984375
2150,349.0050048828125,969.826904296875
2151,348.5339965820312,969.1018676757812
2152,348.0830078125,968.369873046875
2153,347.6499938964844,967.6298828125
2154,347.2340087890625,966.8869018554688
2155,346.8350219726562,966.1448974609375
2156,346.4530029296875,965.4038696289062
2157,346.0880126953125,964.6638793945312
2158,345.7409973144531,963.9228515625
2159,345.4089965820312,963.181884765625
2160,345.093994140625,962.4398803710938
2161,344.7950134277344,961.6948852539062
2162,344.5130004882812,960.9478759765625
2163,344.2460021972656,960.1988525390625
2164,343.9940185546875,959.4458618164062
2165,343.7579956054688,958.6898803710938
2166,343.5379943847656,957.9298706054688
2167,343.3320007324219,957.1648559570312
2168,343.1419982910156,956.3968505859375
2169,342.9660034179688,955.6228637695312
2170,342.8049926757812,954.8448486328125
2171,342.6589965820312,954.0628662109375
2172,342.5280151367188,953.2748413085938
2173,342.4100036621094,952.4818725585938
2174,342.3070068359375,951.682861328125
2175,342.218994140625,950.8788452148438
2176,342.1440124511719,950.0698852539062
2177,342.0830078125,949.2548828125
2178,342.0360107421875,948.433837890625
2179,342.0029907226562,947.6068725585938
2180,341.9840087890625,946.7748413085938
2181,341.9779968261719,945.9358520507812
2182,341.9859924316406,945.0918579101562
2183,342.0069885253906,944.2418823242188
2184,342.041015625,943.3848876953125
2185,342.0889892578125,942.5228881835938
2186,342.1510009765625,941.6538696289062
2187,342.2250061035156,940.7788696289062
2188,342.31298828125,939.8978881835938
2189,342.4129943847656,939.0108642578125
2190,342.5270080566406,938.1178588867188
2191,342.6529846191406,937.2178344726562
2192,342.7789916992188,936.3118896484375
2193,342.8900146484375,935.3998413085938
2194,342.989990234375,934.4818725585938
2195,343.0799865722656,933.557861328125
2196,343.1600036621094,932.6298828125
2197,343.2319946289062,931.6968383789062
2198,343.2969970703125,930.7588500976562
2199,343.3550109863281,929.81787109375
2200,343.4070129394531,928.8728637695312
2201,343.4530029296875,927.923828125
2202,343.4949951171875,926.9718627929688
2203,343.5320129394531,926.0178833007812
2204,343.5650024414062,925.0598754882812
2205,343.593994140625,924.098876953125
2206,343.6189880371094,923.1358642578125
2207,343.6409912109375,922.1708374023438
2208,343.6600036621094,921.2018432617188
2209,343.677001953125,920.2308349609375
2210,343.6900024414062,919.2578735351562
2211,343.7019958496094,918.2818603515625
2212,343.7099914550781,917.3038330078125
2213,343.7170104980469,916.3218383789062
2214,343.7219848632812,915.3388671875
2215,343.7239990234375,914.3548583984375
2216,343.7250061035156,913.370849609375
2217,343.7250061035156,912.390869140625
2218,343.7229919433594,911.4158325195312
2219,343.7200012207031,910.44482421875
2220,343.7160034179688,909.4788818359375
2221,343.7109985351562,908.5178833007812
2222,343.7049865722656,907.5598754882812
2223,343.6990051269531,906.6048583984375
2224,343.6910095214844,905.65283203125
2225,343.6830139160156,904.703857421875
2226,343.6740112304688,903.7568359375
2227,343.6640014648438,902.8118286132812
2228,343.6539916992188,901.869873046875
2229,343.6430053710938,900.9288330078125
2230,343.6310119628906,899.9888305664062
2231,343.6189880371094,899.0508422851562
2232,343.6069946289062,898.1138305664062
2233,343.593994140625,897.1778564453125
2234,343.5799865722656,896.2428588867188
2235,343.5660095214844,895.307861328125
2236,343.5509948730469,894.3748779296875
2237,343.5360107421875,893.4418334960938
2238,343.52099609375,892.5088500976562
2239,343.5050048828125,891.5768432617188
2240,343.489013671875,890.6448364257812
2241,343.4729919433594,889.7138671875
2242,343.4559936523438,888.7818603515625
2243,343.4389953613281,887.850830078125
2244,343.4219970703125,886.9198608398438
2245,343.4039916992188,885.9898681640625
2246,343.385986328125,885.058837890625
2247,343.3680114746094,884.1278686523438
2248,343.3489990234375,883.1968383789062
2249,343.3309936523438,882.266845703125
2250,343.31201171875,881.3358764648438
2251,343.2929992675781,880.4048461914062
2252,343.2730102539062,879.5208740234375
2253,343.2529907226562,878.723876953125
2254,343.2330017089844,878.0068969726562
2255,343.2120056152344,877.3618774414062
2256,343.1910095214844,876.7799072265625
2257,343.1690063476562,876.2578735351562
2258,343.14599609375,875.786865234375
2259,343.1229858398438,875.3638916015625
2260,343.1000061035156,874.98388671875
2261,343.0759887695312,874.6419067382812
2262,343.0509948730469,874.3348999023438
2263,343.0260009765625,874.0588989257812
2264,343.0010070800781,873.8109130859375
2265,342.9750061035156,873.587890625
2266,342.9490051269531,873.3878784179688
2267,342.9230041503906,873.2089233398438
2268,342.8970031738281,873.0479125976562
2269,342.8710021972656,872.9028930664062
2270,342.843994140625,872.77392578125
2271,342.8169860839844,872.6578979492188
2272,342.7900085449219,872.5538940429688
2273,342.7630004882812,872.4608764648438
2274,342.7359924316406,872.3768920898438
2275,342.7080078125,872.3029174804688
2276,342.6809997558594,872.2359008789062
2277,342.6529846191406,872.1768798828125
2278,342.6260070800781,872.1229248046875
2279,342.5979919433594,872.075927734375
2280,342.5700073242188,872.0328979492188
2281,342.5429992675781,871.994873046875
2282,342.5150146484375,871.9608764648438
2283,342.4869995117188,871.930908203125
2284,342.4590148925781,871.9039306640625
2285,342.4309997558594,871.8798828125
2286,342.4029846191406,871.85791015625
2287,342.375,871.8389282226562
2288,342.3479919433594,871.8218994140625
2289,342.3200073242188,871.805908203125
2290,342.2919921875,871.7919311523438
2291,342.2640075683594,871.7799072265625
2292,342.2359924316406,871.7689208984375
2293,342.2080078125,871.7589111328125
2294,342.1799926757812,871.7489013671875
2295,342.1520080566406,871.7409057617188
2296,342.1229858398438,871.73291015625
2297,342.0950012207031,871.7258911132812
2298,342.0669860839844,871.7199096679688
2299,342.0390014648438,871.712890625
2300,342.010986328125,871.7069091796875
2301,341.9830017089844,871.701904296875
2302,341.9549865722656,871.6959228515625
2303,341.927001953125,871.69091796875
2304,341.8989868164062,871.6859130859375
2305,341.8710021972656,871.679931640625
2306,341.8429870605469,871.6749267578125
2307,341.8150024414062,871.669921875
2308,341.7869873046875,871.6638793945312
2309,341.7590026855469,871.6588745117188
2310,341.7309875488281,871.6528930664062
2311,341.7030029296875,871.6469116210938
2312,341.6749877929688,871.6409301757812
2313,341.6470031738281,871.6339111328125
2314,341.6189880371094,871.6279296875
2315,341.5910034179688,871.6209106445312
2316,341.56298828125,871.6129150390625
2317,341.5350036621094,871.6049194335938
2318,341.5069885253906,871.596923828125
2319,341.4779968261719,871.5889282226562
2320,341.4500122070312,871.5798950195312
2321,341.4219970703125,871.5698852539062
2322,341.3940124511719,871.5598754882812
2323,341.3659973144531,871.5499267578125
2324,341.3380126953125,871.5388793945312
2325,341.3099975585938,871.5278930664062
2326,341.2820129394531,871.5159301757812
2327,341.2539978027344,871.5029296875
2328,341.2260131835938,871.4899291992188
2329,341.1969909667969,871.4758911132812
2330,341.1690063476562,871.4619140625
2331,341.1409912109375,871.4468994140625
2332,341.1130065917969,871.430908203125
2333,341.0840148925781,871.4149169921875
2334,341.0559997558594,871.3978881835938
2335,341.0279846191406,871.3798828125
2336,341.0,871.3609008789062
2337,340.9710083007812,871.3419189453125
2338,340.9429931640625,871.3218994140625
2339,340.9140014648438,871.3009033203125
2340,340.885986328125,871.2789306640625
2341,340.8569946289062,871.2559204101562
2342,340.8290100097656,871.2318725585938
2343,340.7999877929688,871.2069091796875
2344,340.77099609375,871.180908203125
2345,340.7430114746094,871.1549072265625
2346,340.7139892578125,871.1268920898438
2347,340.6849975585938,871.097900390625
2348,340.656005859375,871.0679321289062
2349,340.6270141601562,871.0369262695312
2350,340.5979919433594,871.0048828125
2351,340.5690002441406,870.972900390625
2352,340.5400085449219,870.94189453125
2353,340.510986328125,870.9119262695312
2354,340.4809875488281,870.8818969726562
2355,340.4519958496094,870.8538818359375
2356,340.4230041503906,870.8289184570312
2357,340.3940124511719,870.8079223632812
2358,340.364990234375,870.7888793945312
2359,340.3359985351562,870.7728881835938
2360,340.3070068359375,870.7598876953125
2361,340.2779846191406,870.7489013671875
2362,340.25,870.7388916015625
2363,340.2210083007812,870.73193359375
2364,340.1929931640625,870.7258911132812
2365,340.1650085449219,870.7208862304688
2366,340.1369934082031,870.7178955078125
2367,340.1080017089844,870.7158813476562
2368,340.0799865722656,870.7149047851562
2369,340.052001953125,870.7149047851562
2370,340.0249938964844,870.7158813476562
2371,339.9970092773438,870.7169189453125
2372,339.968994140625,870.7189331054688
2373,339.9410095214844,870.721923828125
2374,339.9140014648438,870.7249145507812
2375,339.885986328125,870.7288818359375
2376,339.8590087890625,870.73291015625
2377,339.8309936523438,870.7379150390625
2378,339.8039855957031,870.7418823242188
2379,339.7770080566406,870.7468872070312
2380,339.75,870.7529296875
2381,339.7229919433594,870.7579345703125
2382,339.6960144042969,870.763916015625
2383,339.6690063476562,870.7698974609375
2384,339.6419982910156,870.77587890625
2385,339.614990234375,870.7819213867188
2386,339.5880126953125,870.7888793945312
2387,339.5610046386719,870.794921875
2388,339.5350036621094,870.8018798828125
2389,339.5079956054688,870.8079223632812
2390,339.4809875488281,870.8148803710938
2391,339.4549865722656,870.8209228515625
2392,339.4289855957031,870.827880859375
2393,339.4020080566406,870.8348999023438
2394,339.3760070800781,870.8419189453125
2395,339.3500061035156,870.847900390625
2396,339.322998046875,870.8549194335938
2397,339.2969970703125,870.8618774414062
2398,339.27099609375,870.868896484375
2399,339.2449951171875,870.8748779296875
2400,339.218994140625,870.8818969726562
2401,339.1929931640625,870.888916015625
2402,339.1669921875,870.8958740234375
2403,339.1409912109375,870.9019165039062
2404,339.1159973144531,870.9088745117188
2405,339.0899963378906,870.9158935546875
2406,339.0639953613281,870.921875
2407,339.0390014648438,870.9288940429688
2408,339.0130004882812,870.9359130859375
2409,338.9880065917969,870.94189453125
2410,338.9620056152344,870.9489135742188
2411,338.93701171875,870.9548950195312
2412,338.9110107421875,870.9619140625
2413,338.885986328125,870.9678955078125
2414,338.8609924316406,870.9749145507812
2415,338.8349914550781,870.9808959960938
2416,338.8099975585938,870.9868774414062
2417,338.7850036621094,870.993896484375
2418,338.760009765625,870.9998779296875
2419,338.7349853515625,871.0059204101562
2420,338.7099914550781,871.0119018554688
2421,338.6849975585938,871.0178833007812
2422,338.6600036621094,871.02490234375
2423,338.635986328125,871.0308837890625
2424,338.6109924316406,871.0369262695312
2425,338.5859985351562,871.0429077148438
2426,338.5610046386719,871.0488891601562
2427,338.5369873046875,871.054931640625
2428,338.5119934082031,871.0609130859375
2429,338.4880065917969,871.06689453125
2430,338.4630126953125,871.0718994140625
2431,338.4389953613281,871.077880859375
2432,338.4140014648438,871.0839233398438
2433,338.3900146484375,871.0899047851562
2434,338.3659973144531,871.0958862304688
2435,338.3410034179688,871.1008911132812
2436,338.3169860839844,871.10693359375
2437,338.2929992675781,871.1118774414062
2438,338.2690124511719,871.117919921875
2439,338.2449951171875,871.1239013671875
2440,338.2210083007812,871.12890625
2441,338.1969909667969,871.1348876953125
2442,338.1730041503906,871.139892578125
2443,338.1489868164062,871.1448974609375
2444,338.125,871.15087890625
2445,338.1010131835938,871.1558837890625
2446,338.0769958496094,871.1619262695312
2447,338.0530090332031,871.1669311523438
2448,338.0299987792969,871.171875
2449,338.0060119628906,871.1768798828125
2450,337.9819946289062,871.181884765625
2451,337.9590148925781,871.1879272460938
2452,337.9349975585938,871.1929321289062
2453,337.9119873046875,871.1978759765625
2454,337.8880004882812,871.202880859375
2455,337.864990234375,871.2078857421875
2456,337.8420104980469,871.212890625
2457,337.8179931640625,871.2178955078125
2458,337.7950134277344,871.222900390625
2459,337.7720031738281,871.2279052734375
2460,337.7489929199219,871.23291015625
2461,337.7250061035156,871.2368774414062
2462,337.7019958496094,871.2418823242188
2463,337.6789855957031,871.2468872070312
2464,337.656005859375,871.2518920898438
2465,337.6329956054688,871.2559204101562
2466,337.6099853515625,871.2609252929688
2467,337.5870056152344,871.2659301757812
2468,337.5639953613281,871.2698974609375
2469,337.5419921875,871.27490234375
2470,337.5190124511719,871.2799072265625
2471,337.4960021972656,871.2838745117188
2472,337.4729919433594,871.2888793945312
2473,337.4509887695312,871.2929077148438
2474,337.4280090332031,871.296875
2475,337.4049987792969,871.3018798828125
2476,337.3829956054688,871.305908203125
2477,337.3599853515625,871.3109130859375
2478,337.3380126953125,871.3148803710938
2479,337.3150024414062,871.3189086914062
2480,337.2929992675781,871.3239135742188
2481,337.27099609375,871.327880859375
2482,337.2479858398438,871.3319091796875
2483,337.2260131835938,871.3358764648438
2484,337.2040100097656,871.3399047851562
2485,337.1809997558594,871.3439331054688
2486,337.1589965820312,871.347900390625
2487,337.1369934082031,871.3529052734375
2488,337.114990234375,871.35693359375
2489,337.0929870605469,871.3609008789062
2490,337.0710144042969,871.3649291992188
2491,337.0490112304688,871.367919921875
2492,337.0270080566406,871.3718872070312
2493,337.0050048828125,871.3759155273438
2494,336.9830017089844,871.3798828125
2495,336.9609985351562,871.3839111328125
2496,336.9400024414062,871.3878784179688
2497,336.9179992675781,871.3909301757812
2498,336.89599609375,871.3948974609375
2499,336.8739929199219,871.39892578125
2500,336.8630065917969,871.40087890625
